date,LME_Zinc_3M
2005-01-03 00:00:00,1246.0
2005-01-04 00:00:00,1170.0
2005-01-05 00:00:00,1208.5
2005-01-06 00:00:00,1207.0
2005-01-07 00:00:00,1230.0
2005-01-10 00:00:00,1217.0
2005-01-11 00:00:00,1230.0
2005-01-12 00:00:00,1231.0
2005-01-13 00:00:00,1236.0
2005-01-14 00:00:00,1238.0
2005-01-17 00:00:00,1245.0
2005-01-18 00:00:00,1251.0
2005-01-19 00:00:00,1282.0
2005-01-20 00:00:00,1270.0
2005-01-21 00:00:00,1292.0
2005-01-24 00:00:00,1290.0
2005-01-25 00:00:00,1275.0
2005-01-26 00:00:00,1288.0
2005-01-27 00:00:00,1278.5
2005-01-28 00:00:00,1289.0
2005-01-31 00:00:00,1297.0
2005-02-01 00:00:00,1292.0
2005-02-02 00:00:00,1280.0
2005-02-03 00:00:00,1293.0
2005-02-04 00:00:00,1276.0
2005-02-07 00:00:00,1291.0
2005-02-08 00:00:00,1286.0
2005-02-09 00:00:00,1286.0
2005-02-10 00:00:00,1330.5
2005-02-11 00:00:00,1321.0
2005-02-14 00:00:00,1328.0
2005-02-15 00:00:00,1328.0
2005-02-16 00:00:00,1333.0
2005-02-17 00:00:00,1361.0
2005-02-18 00:00:00,1374.0
2005-02-21 00:00:00,1368.0
2005-02-22 00:00:00,1391.0
2005-02-23 00:00:00,1396.0
2005-02-24 00:00:00,1376.0
2005-02-25 00:00:00,1380.0
2005-02-28 00:00:00,1389.0
2005-03-01 00:00:00,1386.0
2005-03-02 00:00:00,1380.0
2005-03-03 00:00:00,1399.0
2005-03-04 00:00:00,1391.0
2005-03-07 00:00:00,1410.0
2005-03-08 00:00:00,1418.0
2005-03-09 00:00:00,1438.0
2005-03-10 00:00:00,1430.0
2005-03-11 00:00:00,1439.0
2005-03-14 00:00:00,1427.0
2005-03-15 00:00:00,1440.0
2005-03-16 00:00:00,1439.0
2005-03-17 00:00:00,1371.0
2005-03-18 00:00:00,1391.0
2005-03-21 00:00:00,1382.0
2005-03-22 00:00:00,1387.0
2005-03-23 00:00:00,1327.0
2005-03-24 00:00:00,1335.5
2005-03-25 00:00:00,1335.5
2005-03-28 00:00:00,1335.5
2005-03-29 00:00:00,1333.0
2005-03-30 00:00:00,1361.0
2005-03-31 00:00:00,1375.0
2005-04-01 00:00:00,1347.0
2005-04-04 00:00:00,1346.0
2005-04-05 00:00:00,1355.0
2005-04-06 00:00:00,1366.0
2005-04-07 00:00:00,1373.0
2005-04-08 00:00:00,1366.0
2005-04-11 00:00:00,1380.0
2005-04-12 00:00:00,1360.0
2005-04-13 00:00:00,1305.0
2005-04-14 00:00:00,1256.0
2005-04-15 00:00:00,1280.0
2005-04-18 00:00:00,1270.5
2005-04-19 00:00:00,1304.0
2005-04-20 00:00:00,1326.0
2005-04-21 00:00:00,1300.0
2005-04-22 00:00:00,1307.5
2005-04-25 00:00:00,1299.0
2005-04-26 00:00:00,1287.0
2005-04-27 00:00:00,1279.0
2005-04-28 00:00:00,1274.5
2005-04-29 00:00:00,1299.0
2005-05-02 00:00:00,1299.0
2005-05-03 00:00:00,1278.0
2005-05-04 00:00:00,1248.0
2005-05-05 00:00:00,1258.0
2005-05-06 00:00:00,1257.0
2005-05-09 00:00:00,1265.0
2005-05-10 00:00:00,1272.0
2005-05-11 00:00:00,1260.0
2005-05-12 00:00:00,1230.0
2005-05-13 00:00:00,1224.0
2005-05-16 00:00:00,1224.0
2005-05-17 00:00:00,1240.0
2005-05-18 00:00:00,1246.0
2005-05-19 00:00:00,1227.0
2005-05-20 00:00:00,1233.0
2005-05-23 00:00:00,1243.0
2005-05-24 00:00:00,1253.0
2005-05-25 00:00:00,1268.0
2005-05-26 00:00:00,1279.0
2005-05-27 00:00:00,1276.0
2005-05-30 00:00:00,1276.0
2005-05-31 00:00:00,1285.0
2005-06-01 00:00:00,1291.0
2005-06-02 00:00:00,1321.0
2005-06-03 00:00:00,1325.5
2005-06-06 00:00:00,1308.0
2005-06-07 00:00:00,1302.0
2005-06-08 00:00:00,1300.0
2005-06-09 00:00:00,1294.0
2005-06-10 00:00:00,1292.0
2005-06-13 00:00:00,1278.0
2005-06-14 00:00:00,1260.0
2005-06-15 00:00:00,1292.0
2005-06-16 00:00:00,1309.0
2005-06-17 00:00:00,1317.0
2005-06-20 00:00:00,1313.0
2005-06-21 00:00:00,1292.0
2005-06-22 00:00:00,1295.0
2005-06-23 00:00:00,1280.0
2005-06-24 00:00:00,1277.0
2005-06-27 00:00:00,1272.0
2005-06-28 00:00:00,1237.0
2005-06-29 00:00:00,1250.0
2005-06-30 00:00:00,1230.0
2005-07-01 00:00:00,1198.0
2005-07-04 00:00:00,1190.5
2005-07-05 00:00:00,1191.0
2005-07-06 00:00:00,1226.0
2005-07-07 00:00:00,1208.0
2005-07-08 00:00:00,1226.0
2005-07-11 00:00:00,1234.0
2005-07-12 00:00:00,1210.0
2005-07-13 00:00:00,1204.0
2005-07-14 00:00:00,1220.0
2005-07-15 00:00:00,1201.0
2005-07-18 00:00:00,1178.0
2005-07-19 00:00:00,1210.0
2005-07-20 00:00:00,1236.5
2005-07-21 00:00:00,1211.0
2005-07-22 00:00:00,1227.0
2005-07-25 00:00:00,1213.0
2005-07-26 00:00:00,1215.0
2005-07-27 00:00:00,1237.0
2005-07-28 00:00:00,1257.0
2005-07-29 00:00:00,1265.0
2005-08-01 00:00:00,1283.0
2005-08-02 00:00:00,1287.0
2005-08-03 00:00:00,1297.0
2005-08-04 00:00:00,1297.0
2005-08-05 00:00:00,1289.0
2005-08-08 00:00:00,1288.5
2005-08-09 00:00:00,1268.0
2005-08-10 00:00:00,1281.0
2005-08-11 00:00:00,1302.0
2005-08-12 00:00:00,1312.0
2005-08-15 00:00:00,1321.0
2005-08-16 00:00:00,1343.0
2005-08-17 00:00:00,1338.0
2005-08-18 00:00:00,1342.0
2005-08-19 00:00:00,1352.0
2005-08-22 00:00:00,1374.0
2005-08-23 00:00:00,1355.0
2005-08-24 00:00:00,1350.0
2005-08-25 00:00:00,1338.0
2005-08-26 00:00:00,1355.0
2005-08-29 00:00:00,1355.0
2005-08-30 00:00:00,1359.0
2005-08-31 00:00:00,1366.0
2005-09-01 00:00:00,1418.0
2005-09-02 00:00:00,1417.0
2005-09-05 00:00:00,1413.0
2005-09-06 00:00:00,1391.0
2005-09-07 00:00:00,1374.0
2005-09-08 00:00:00,1375.0
2005-09-09 00:00:00,1380.0
2005-09-12 00:00:00,1419.0
2005-09-13 00:00:00,1402.0
2005-09-14 00:00:00,1389.0
2005-09-15 00:00:00,1365.0
2005-09-16 00:00:00,1350.0
2005-09-19 00:00:00,1402.0
2005-09-20 00:00:00,1411.5
2005-09-21 00:00:00,1432.0
2005-09-22 00:00:00,1419.0
2005-09-23 00:00:00,1411.0
2005-09-26 00:00:00,1448.0
2005-09-27 00:00:00,1442.0
2005-09-28 00:00:00,1412.0
2005-09-29 00:00:00,1420.0
2005-09-30 00:00:00,1420.0
2005-10-03 00:00:00,1414.85
2005-10-04 00:00:00,1426.0
2005-10-05 00:00:00,1453.0
2005-10-06 00:00:00,1454.0
2005-10-07 00:00:00,1478.0
2005-10-10 00:00:00,1478.0
2005-10-11 00:00:00,1495.0
2005-10-12 00:00:00,1481.0
2005-10-13 00:00:00,1478.0
2005-10-14 00:00:00,1475.0
2005-10-17 00:00:00,1520.0
2005-10-18 00:00:00,1519.5
2005-10-19 00:00:00,1509.0
2005-10-20 00:00:00,1514.0
2005-10-21 00:00:00,1459.0
2005-10-24 00:00:00,1485.0
2005-10-25 00:00:00,1520.0
2005-10-26 00:00:00,1512.0
2005-10-27 00:00:00,1533.0
2005-10-28 00:00:00,1543.0
2005-10-31 00:00:00,1545.0
2005-11-01 00:00:00,1528.0
2005-11-02 00:00:00,1545.0
2005-11-03 00:00:00,1550.0
2005-11-04 00:00:00,1568.0
2005-11-07 00:00:00,1576.0
2005-11-08 00:00:00,1580.0
2005-11-09 00:00:00,1579.0
2005-11-10 00:00:00,1592.0
2005-11-11 00:00:00,1610.0
2005-11-14 00:00:00,1601.0
2005-11-15 00:00:00,1615.0
2005-11-16 00:00:00,1608.0
2005-11-17 00:00:00,1626.0
2005-11-18 00:00:00,1646.0
2005-11-21 00:00:00,1649.0
2005-11-22 00:00:00,1635.0
2005-11-23 00:00:00,1623.0
2005-11-24 00:00:00,1649.0
2005-11-25 00:00:00,1668.0
2005-11-28 00:00:00,1690.0
2005-11-29 00:00:00,1700.0
2005-11-30 00:00:00,1715.0
2005-12-01 00:00:00,1764.0
2005-12-02 00:00:00,1772.0
2005-12-05 00:00:00,1796.0
2005-12-06 00:00:00,1797.0
2005-12-07 00:00:00,1825.0
2005-12-08 00:00:00,1828.0
2005-12-09 00:00:00,1836.0
2005-12-12 00:00:00,1792.0
2005-12-13 00:00:00,1839.0
2005-12-14 00:00:00,1813.0
2005-12-15 00:00:00,1786.0
2005-12-16 00:00:00,1835.0
2005-12-19 00:00:00,1822.0
2005-12-20 00:00:00,1821.0
2005-12-21 00:00:00,1845.0
2005-12-22 00:00:00,1895.0
2005-12-23 00:00:00,1881.0
2005-12-26 00:00:00,1881.0
2005-12-27 00:00:00,1881.0
2005-12-28 00:00:00,1887.0
2005-12-29 00:00:00,1889.0
2005-12-30 00:00:00,1909.0
2006-01-02 00:00:00,1909.0
2006-01-03 00:00:00,1923.0
2006-01-04 00:00:00,1950.0
2006-01-05 00:00:00,1966.5
2006-01-06 00:00:00,1966.0
2006-01-09 00:00:00,1968.0
2006-01-10 00:00:00,1975.0
2006-01-11 00:00:00,2005.0
2006-01-12 00:00:00,2030.0
2006-01-13 00:00:00,2061.5
2006-01-16 00:00:00,2079.5
2006-01-17 00:00:00,2085.0
2006-01-18 00:00:00,2113.5
2006-01-19 00:00:00,2139.0
2006-01-20 00:00:00,2140.0
2006-01-23 00:00:00,2186.0
2006-01-24 00:00:00,2229.0
2006-01-25 00:00:00,2300.0
2006-01-26 00:00:00,2265.0
2006-01-27 00:00:00,2250.0
2006-01-30 00:00:00,2299.5
2006-01-31 00:00:00,2306.0
2006-02-01 00:00:00,2353.0
2006-02-02 00:00:00,2383.0
2006-02-03 00:00:00,2409.0
2006-02-06 00:00:00,2398.0
2006-02-07 00:00:00,2345.0
2006-02-08 00:00:00,2310.0
2006-02-09 00:00:00,2340.0
2006-02-10 00:00:00,2200.0
2006-02-13 00:00:00,2118.0
2006-02-14 00:00:00,2185.0
2006-02-15 00:00:00,2065.0
2006-02-16 00:00:00,2045.0
2006-02-17 00:00:00,2046.0
2006-02-20 00:00:00,2128.0
2006-02-21 00:00:00,2234.0
2006-02-22 00:00:00,2225.0
2006-02-23 00:00:00,2186.0
2006-02-24 00:00:00,2260.0
2006-02-27 00:00:00,2245.0
2006-02-28 00:00:00,2359.0
2006-03-01 00:00:00,2355.0
2006-03-02 00:00:00,2395.0
2006-03-03 00:00:00,2358.0
2006-03-06 00:00:00,2327.0
2006-03-07 00:00:00,2248.0
2006-03-08 00:00:00,2225.0
2006-03-09 00:00:00,2233.0
2006-03-10 00:00:00,2290.0
2006-03-13 00:00:00,2277.0
2006-03-14 00:00:00,2291.0
2006-03-15 00:00:00,2328.0
2006-03-16 00:00:00,2370.0
2006-03-17 00:00:00,2473.0
2006-03-20 00:00:00,2470.0
2006-03-21 00:00:00,2507.0
2006-03-22 00:00:00,2516.0
2006-03-23 00:00:00,2571.0
2006-03-24 00:00:00,2580.0
2006-03-27 00:00:00,2624.0
2006-03-28 00:00:00,2624.0
2006-03-29 00:00:00,2613.0
2006-03-30 00:00:00,2670.0
2006-03-31 00:00:00,2645.0
2006-04-03 00:00:00,2740.0
2006-04-04 00:00:00,2687.5
2006-04-05 00:00:00,2787.0
2006-04-06 00:00:00,2805.0
2006-04-07 00:00:00,2811.0
2006-04-10 00:00:00,2911.0
2006-04-11 00:00:00,2943.0
2006-04-12 00:00:00,3005.0
2006-04-13 00:00:00,3005.0
2006-04-14 00:00:00,3005.0
2006-04-17 00:00:00,3005.0
2006-04-18 00:00:00,3115.0
2006-04-19 00:00:00,3155.0
2006-04-20 00:00:00,3075.0
2006-04-21 00:00:00,3310.0
2006-04-24 00:00:00,3275.0
2006-04-25 00:00:00,3385.0
2006-04-26 00:00:00,3360.0
2006-04-27 00:00:00,3192.0
2006-04-28 00:00:00,3175.0
2006-05-01 00:00:00,3175.0
2006-05-02 00:00:00,3250.0
2006-05-03 00:00:00,3220.0
2006-05-04 00:00:00,3440.0
2006-05-05 00:00:00,3450.0
2006-05-08 00:00:00,3390.0
2006-05-09 00:00:00,3470.0
2006-05-10 00:00:00,3660.0
2006-05-11 00:00:00,3825.0
2006-05-12 00:00:00,3660.0
2006-05-15 00:00:00,3415.0
2006-05-16 00:00:00,3471.0
2006-05-17 00:00:00,3430.0
2006-05-18 00:00:00,3400.0
2006-05-19 00:00:00,3230.0
2006-05-22 00:00:00,3330.0
2006-05-23 00:00:00,3550.0
2006-05-24 00:00:00,3465.0
2006-05-25 00:00:00,3540.0
2006-05-26 00:00:00,3770.0
2006-05-29 00:00:00,3770.0
2006-05-30 00:00:00,3725.0
2006-05-31 00:00:00,3670.0
2006-06-01 00:00:00,3505.0
2006-06-02 00:00:00,3589.0
2006-06-05 00:00:00,3590.0
2006-06-06 00:00:00,3460.0
2006-06-07 00:00:00,3601.0
2006-06-08 00:00:00,3300.0
2006-06-09 00:00:00,3320.0
2006-06-12 00:00:00,3235.0
2006-06-13 00:00:00,2960.0
2006-06-14 00:00:00,2960.0
2006-06-15 00:00:00,3075.0
2006-06-16 00:00:00,3075.0
2006-06-19 00:00:00,2990.0
2006-06-20 00:00:00,2910.0
2006-06-21 00:00:00,2929.0
2006-06-22 00:00:00,2940.0
2006-06-23 00:00:00,2860.0
2006-06-26 00:00:00,2990.0
2006-06-27 00:00:00,2920.0
2006-06-28 00:00:00,2945.0
2006-06-29 00:00:00,3100.0
2006-06-30 00:00:00,3220.0
2006-07-03 00:00:00,3200.0
2006-07-04 00:00:00,3300.0
2006-07-05 00:00:00,3260.0
2006-07-06 00:00:00,3390.0
2006-07-07 00:00:00,3450.0
