date,LME_Nickel_3M
2005-01-03 00:00:00,14875.0
2005-01-04 00:00:00,14200.0
2005-01-05 00:00:00,14400.0
2005-01-06 00:00:00,14500.0
2005-01-07 00:00:00,15000.0
2005-01-10 00:00:00,14900.0
2005-01-11 00:00:00,15100.0
2005-01-12 00:00:00,14800.0
2005-01-13 00:00:00,14745.0
2005-01-14 00:00:00,14625.0
2005-01-17 00:00:00,14775.0
2005-01-18 00:00:00,14650.0
2005-01-19 00:00:00,14400.0
2005-01-20 00:00:00,14255.0
2005-01-21 00:00:00,14055.0
2005-01-24 00:00:00,14125.0
2005-01-25 00:00:00,14200.0
2005-01-26 00:00:00,14400.0
2005-01-27 00:00:00,14400.0
2005-01-28 00:00:00,14425.0
2005-01-31 00:00:00,14525.0
2005-02-01 00:00:00,14550.0
2005-02-02 00:00:00,14575.0
2005-02-03 00:00:00,14755.0
2005-02-04 00:00:00,14475.0
2005-02-07 00:00:00,14700.0
2005-02-08 00:00:00,15175.0
2005-02-09 00:00:00,15150.0
2005-02-10 00:00:00,15340.0
2005-02-11 00:00:00,15280.0
2005-02-14 00:00:00,15205.0
2005-02-15 00:00:00,15630.0
2005-02-16 00:00:00,15400.0
2005-02-17 00:00:00,15250.0
2005-02-18 00:00:00,15625.0
2005-02-21 00:00:00,15650.0
2005-02-22 00:00:00,15700.0
2005-02-23 00:00:00,16025.0
2005-02-24 00:00:00,15800.0
2005-02-25 00:00:00,16000.0
2005-02-28 00:00:00,16250.0
2005-03-01 00:00:00,15705.0
2005-03-02 00:00:00,15525.0
2005-03-03 00:00:00,16200.0
2005-03-04 00:00:00,16150.0
2005-03-07 00:00:00,16100.0
2005-03-08 00:00:00,16230.0
2005-03-09 00:00:00,16100.0
2005-03-10 00:00:00,15955.0
2005-03-11 00:00:00,16100.0
2005-03-14 00:00:00,15875.0
2005-03-15 00:00:00,15970.0
2005-03-16 00:00:00,16000.0
2005-03-17 00:00:00,15825.0
2005-03-18 00:00:00,16255.0
2005-03-21 00:00:00,16050.0
2005-03-22 00:00:00,16175.0
2005-03-23 00:00:00,15875.0
2005-03-24 00:00:00,15750.0
2005-03-25 00:00:00,15750.0
2005-03-28 00:00:00,15750.0
2005-03-29 00:00:00,15525.0
2005-03-30 00:00:00,15650.0
2005-03-31 00:00:00,15900.0
2005-04-01 00:00:00,15650.0
2005-04-04 00:00:00,15750.0
2005-04-05 00:00:00,15700.0
2005-04-06 00:00:00,16400.0
2005-04-07 00:00:00,16200.0
2005-04-08 00:00:00,16100.0
2005-04-11 00:00:00,16175.0
2005-04-12 00:00:00,15525.0
2005-04-13 00:00:00,15200.0
2005-04-14 00:00:00,15420.0
2005-04-15 00:00:00,15780.0
2005-04-18 00:00:00,15350.0
2005-04-19 00:00:00,15950.0
2005-04-20 00:00:00,16045.0
2005-04-21 00:00:00,15925.0
2005-04-22 00:00:00,16000.0
2005-04-25 00:00:00,15950.0
2005-04-26 00:00:00,15750.0
2005-04-27 00:00:00,15675.0
2005-04-28 00:00:00,15750.0
2005-04-29 00:00:00,15850.0
2005-05-02 00:00:00,15850.0
2005-05-03 00:00:00,15600.0
2005-05-04 00:00:00,15650.0
2005-05-05 00:00:00,16000.0
2005-05-06 00:00:00,15925.0
2005-05-09 00:00:00,16250.0
2005-05-10 00:00:00,16755.0
2005-05-11 00:00:00,16700.0
2005-05-12 00:00:00,16800.0
2005-05-13 00:00:00,16500.0
2005-05-16 00:00:00,16150.0
2005-05-17 00:00:00,16000.0
2005-05-18 00:00:00,16200.0
2005-05-19 00:00:00,15950.0
2005-05-20 00:00:00,15900.0
2005-05-23 00:00:00,16000.0
2005-05-24 00:00:00,16190.0
2005-05-25 00:00:00,16300.0
2005-05-26 00:00:00,16400.0
2005-05-27 00:00:00,16250.0
2005-05-30 00:00:00,16250.0
2005-05-31 00:00:00,16250.0
2005-06-01 00:00:00,16025.0
2005-06-02 00:00:00,16375.0
2005-06-03 00:00:00,16705.0
2005-06-06 00:00:00,16600.0
2005-06-07 00:00:00,16150.0
2005-06-08 00:00:00,15900.0
2005-06-09 00:00:00,16075.0
2005-06-10 00:00:00,15925.0
2005-06-13 00:00:00,16255.0
2005-06-14 00:00:00,16000.0
2005-06-15 00:00:00,16150.0
2005-06-16 00:00:00,16125.0
2005-06-17 00:00:00,16205.0
2005-06-20 00:00:00,16225.0
2005-06-21 00:00:00,15875.0
2005-06-22 00:00:00,15575.0
2005-06-23 00:00:00,14870.0
2005-06-24 00:00:00,14550.0
2005-06-27 00:00:00,14550.0
2005-06-28 00:00:00,14650.0
2005-06-29 00:00:00,14695.0
2005-06-30 00:00:00,14590.0
2005-07-01 00:00:00,14490.0
2005-07-04 00:00:00,14100.0
2005-07-05 00:00:00,14275.0
2005-07-06 00:00:00,14650.0
2005-07-07 00:00:00,14590.0
2005-07-08 00:00:00,14775.0
2005-07-11 00:00:00,14800.0
2005-07-12 00:00:00,14775.0
2005-07-13 00:00:00,14225.0
2005-07-14 00:00:00,14375.0
2005-07-15 00:00:00,14350.0
2005-07-18 00:00:00,14125.0
2005-07-19 00:00:00,14025.0
2005-07-20 00:00:00,14400.0
2005-07-21 00:00:00,14050.0
2005-07-22 00:00:00,14150.0
2005-07-25 00:00:00,14025.0
2005-07-26 00:00:00,14100.0
2005-07-27 00:00:00,14075.0
2005-07-28 00:00:00,14400.0
2005-07-29 00:00:00,14250.0
2005-08-01 00:00:00,14350.0
2005-08-02 00:00:00,14100.0
2005-08-03 00:00:00,14345.0
2005-08-04 00:00:00,14200.0
2005-08-05 00:00:00,14225.0
2005-08-08 00:00:00,14450.0
2005-08-09 00:00:00,14275.0
2005-08-10 00:00:00,14680.0
2005-08-11 00:00:00,14750.0
2005-08-12 00:00:00,15200.0
2005-08-15 00:00:00,15395.0
2005-08-16 00:00:00,15250.0
2005-08-17 00:00:00,15050.0
2005-08-18 00:00:00,14875.0
2005-08-19 00:00:00,14750.0
2005-08-22 00:00:00,15125.0
2005-08-23 00:00:00,14900.0
2005-08-24 00:00:00,14875.0
2005-08-25 00:00:00,14850.0
