date,LME_Aluminum_3M
2005-01-03 00:00:00,1958.0
2005-01-04 00:00:00,1803.0
2005-01-05 00:00:00,1825.0
2005-01-06 00:00:00,1807.0
2005-01-07 00:00:00,1814.0
2005-01-10 00:00:00,1810.0
2005-01-11 00:00:00,1835.5
2005-01-12 00:00:00,1845.0
2005-01-13 00:00:00,1830.0
2005-01-14 00:00:00,1830.5
2005-01-17 00:00:00,1822.0
2005-01-18 00:00:00,1834.0
2005-01-19 00:00:00,1840.0
2005-01-20 00:00:00,1839.0
2005-01-21 00:00:00,1855.0
2005-01-24 00:00:00,1838.5
2005-01-25 00:00:00,1807.0
2005-01-26 00:00:00,1834.0
2005-01-27 00:00:00,1828.0
2005-01-28 00:00:00,1842.0
2005-01-31 00:00:00,1850.0
2005-02-01 00:00:00,1842.0
2005-02-02 00:00:00,1822.0
2005-02-03 00:00:00,1829.5
2005-02-04 00:00:00,1819.5
2005-02-07 00:00:00,1814.0
2005-02-08 00:00:00,1810.5
2005-02-09 00:00:00,1812.0
2005-02-10 00:00:00,1845.0
2005-02-11 00:00:00,1835.0
2005-02-14 00:00:00,1855.0
2005-02-15 00:00:00,1869.0
2005-02-16 00:00:00,1876.0
2005-02-17 00:00:00,1909.0
2005-02-18 00:00:00,1935.0
2005-02-21 00:00:00,1924.0
2005-02-22 00:00:00,1965.0
2005-02-23 00:00:00,1969.0
2005-02-24 00:00:00,1913.0
2005-02-25 00:00:00,1891.0
2005-02-28 00:00:00,1911.0
2005-03-01 00:00:00,1908.0
2005-03-02 00:00:00,1912.0
2005-03-03 00:00:00,1944.0
2005-03-04 00:00:00,1963.0
2005-03-07 00:00:00,1958.0
2005-03-08 00:00:00,1987.0
2005-03-09 00:00:00,2002.0
2005-03-10 00:00:00,2005.0
2005-03-11 00:00:00,1991.0
2005-03-14 00:00:00,1972.0
2005-03-15 00:00:00,1994.0
2005-03-16 00:00:00,1997.0
2005-03-17 00:00:00,1969.0
2005-03-18 00:00:00,1998.0
2005-03-21 00:00:00,1974.0
2005-03-22 00:00:00,1982.0
2005-03-23 00:00:00,1947.0
2005-03-24 00:00:00,1929.0
2005-03-25 00:00:00,1929.0
2005-03-28 00:00:00,1929.0
2005-03-29 00:00:00,1938.0
2005-03-30 00:00:00,1951.0
2005-03-31 00:00:00,1973.0
2005-04-01 00:00:00,1928.0
2005-04-04 00:00:00,1939.0
2005-04-05 00:00:00,1935.0
2005-04-06 00:00:00,1952.0
2005-04-07 00:00:00,1957.0
2005-04-08 00:00:00,1946.0
2005-04-11 00:00:00,1971.0
2005-04-12 00:00:00,1948.0
2005-04-13 00:00:00,1885.0
2005-04-14 00:00:00,1860.0
2005-04-15 00:00:00,1863.0
2005-04-18 00:00:00,1863.0
2005-04-19 00:00:00,1870.0
2005-04-20 00:00:00,1889.0
2005-04-21 00:00:00,1856.0
2005-04-22 00:00:00,1865.0
2005-04-25 00:00:00,1830.0
2005-04-26 00:00:00,1821.0
2005-04-27 00:00:00,1802.0
2005-04-28 00:00:00,1807.75
2005-04-29 00:00:00,1822.0
2005-05-02 00:00:00,1822.0
2005-05-03 00:00:00,1794.0
2005-05-04 00:00:00,1766.0
2005-05-05 00:00:00,1776.5
2005-05-06 00:00:00,1770.0
2005-05-09 00:00:00,1784.0
2005-05-10 00:00:00,1785.5
2005-05-11 00:00:00,1755.0
2005-05-12 00:00:00,1747.0
2005-05-13 00:00:00,1720.0
2005-05-16 00:00:00,1715.0
2005-05-17 00:00:00,1734.0
2005-05-18 00:00:00,1744.0
2005-05-19 00:00:00,1734.0
2005-05-20 00:00:00,1722.0
2005-05-23 00:00:00,1734.5
2005-05-24 00:00:00,1742.0
2005-05-25 00:00:00,1750.0
2005-05-26 00:00:00,1754.0
2005-05-27 00:00:00,1745.5
2005-05-30 00:00:00,1745.5
2005-05-31 00:00:00,1740.0
2005-06-01 00:00:00,1752.0
2005-06-02 00:00:00,1774.0
2005-06-03 00:00:00,1790.0
2005-06-06 00:00:00,1772.0
2005-06-07 00:00:00,1753.0
2005-06-08 00:00:00,1732.0
2005-06-09 00:00:00,1735.0
2005-06-10 00:00:00,1715.0
2005-06-13 00:00:00,1702.0
2005-06-14 00:00:00,1710.0
2005-06-15 00:00:00,1733.5
2005-06-16 00:00:00,1746.0
2005-06-17 00:00:00,1777.0
2005-06-20 00:00:00,1791.0
2005-06-21 00:00:00,1772.0
2005-06-22 00:00:00,1780.0
2005-06-23 00:00:00,1748.0
2005-06-24 00:00:00,1756.0
2005-06-27 00:00:00,1742.0
2005-06-28 00:00:00,1721.0
2005-06-29 00:00:00,1738.0
2005-06-30 00:00:00,1719.5
2005-07-01 00:00:00,1688.0
2005-07-04 00:00:00,1697.0
2005-07-05 00:00:00,1705.0
2005-07-06 00:00:00,1737.0
2005-07-07 00:00:00,1732.0
2005-07-08 00:00:00,1784.0
2005-07-11 00:00:00,1814.0
2005-07-12 00:00:00,1805.0
2005-07-13 00:00:00,1814.0
2005-07-14 00:00:00,1842.5
2005-07-15 00:00:00,1840.0
2005-07-18 00:00:00,1814.0
2005-07-19 00:00:00,1823.0
2005-07-20 00:00:00,1832.0
2005-07-21 00:00:00,1816.0
2005-07-22 00:00:00,1834.0
2005-07-25 00:00:00,1834.0
2005-07-26 00:00:00,1825.0
2005-07-27 00:00:00,1848.5
2005-07-28 00:00:00,1865.0
2005-07-29 00:00:00,1858.0
2005-08-01 00:00:00,1872.0
2005-08-02 00:00:00,1885.0
2005-08-03 00:00:00,1899.0
2005-08-04 00:00:00,1882.5
2005-08-05 00:00:00,1885.5
2005-08-08 00:00:00,1873.0
2005-08-09 00:00:00,1849.0
2005-08-10 00:00:00,1888.0
2005-08-11 00:00:00,1911.0
2005-08-12 00:00:00,1918.0
2005-08-15 00:00:00,1928.5
2005-08-16 00:00:00,1938.0
2005-08-17 00:00:00,1884.0
2005-08-18 00:00:00,1896.0
2005-08-19 00:00:00,1887.0
2005-08-22 00:00:00,1923.0
2005-08-23 00:00:00,1920.0
2005-08-24 00:00:00,1888.0
2005-08-25 00:00:00,1883.0
2005-08-26 00:00:00,1893.0
2005-08-29 00:00:00,1893.0
2005-08-30 00:00:00,1873.0
2005-08-31 00:00:00,1853.0
2005-09-01 00:00:00,1873.0
2005-09-02 00:00:00,1880.0
2005-09-05 00:00:00,1870.0
2005-09-06 00:00:00,1859.5
2005-09-07 00:00:00,1853.0
2005-09-08 00:00:00,1838.0
2005-09-09 00:00:00,1840.0
2005-09-12 00:00:00,1860.0
2005-09-13 00:00:00,1862.0
2005-09-14 00:00:00,1850.0
2005-09-15 00:00:00,1826.0
2005-09-16 00:00:00,1799.0
2005-09-19 00:00:00,1824.0
2005-09-20 00:00:00,1814.0
2005-09-21 00:00:00,1854.0
2005-09-22 00:00:00,1862.0
2005-09-23 00:00:00,1857.0
2005-09-26 00:00:00,1880.0
2005-09-27 00:00:00,1860.0
2005-09-28 00:00:00,1854.0
2005-09-29 00:00:00,1873.0
2005-09-30 00:00:00,1851.0
2005-10-03 00:00:00,1860.62
2005-10-04 00:00:00,1861.0
2005-10-05 00:00:00,1885.0
2005-10-06 00:00:00,1890.0
2005-10-07 00:00:00,1908.0
2005-10-10 00:00:00,1903.0
2005-10-11 00:00:00,1932.0
2005-10-12 00:00:00,1956.0
2005-10-13 00:00:00,1932.0
2005-10-14 00:00:00,1948.0
2005-10-17 00:00:00,1999.0
2005-10-18 00:00:00,1988.0
2005-10-19 00:00:00,1978.0
2005-10-20 00:00:00,1975.0
2005-10-21 00:00:00,1925.0
2005-10-24 00:00:00,1937.0
2005-10-25 00:00:00,1965.0
2005-10-26 00:00:00,1942.0
2005-10-27 00:00:00,1960.0
2005-10-28 00:00:00,1950.0
2005-10-31 00:00:00,1984.0
2005-11-01 00:00:00,1982.0
2005-11-02 00:00:00,2000.0
2005-11-03 00:00:00,2013.5
2005-11-04 00:00:00,2027.0
2005-11-07 00:00:00,2018.0
2005-11-08 00:00:00,2012.0
2005-11-09 00:00:00,2016.0
2005-11-10 00:00:00,2025.5
2005-11-11 00:00:00,2054.0
2005-11-14 00:00:00,2051.0
2005-11-15 00:00:00,2005.0
2005-11-16 00:00:00,2010.0
2005-11-17 00:00:00,2007.0
2005-11-18 00:00:00,2037.0
2005-11-21 00:00:00,2065.0
2005-11-22 00:00:00,2039.0
2005-11-23 00:00:00,2059.0
2005-11-24 00:00:00,2084.0
2005-11-25 00:00:00,2105.0
2005-11-28 00:00:00,2116.5
2005-11-29 00:00:00,2121.0
2005-11-30 00:00:00,2139.0
2005-12-01 00:00:00,2198.0
2005-12-02 00:00:00,2190.0
2005-12-05 00:00:00,2221.5
2005-12-06 00:00:00,2223.0
2005-12-07 00:00:00,2248.0
2005-12-08 00:00:00,2235.0
2005-12-09 00:00:00,2266.0
2005-12-12 00:00:00,2231.0
2005-12-13 00:00:00,2249.0
2005-12-14 00:00:00,2220.0
2005-12-15 00:00:00,2220.5
2005-12-16 00:00:00,2240.0
2005-12-19 00:00:00,2229.0
2005-12-20 00:00:00,2225.0
2005-12-21 00:00:00,2240.0
2005-12-22 00:00:00,2245.5
2005-12-23 00:00:00,2276.0
2005-12-26 00:00:00,2276.0
2005-12-27 00:00:00,2276.0
2005-12-28 00:00:00,2272.0
2005-12-29 00:00:00,2282.0
2005-12-30 00:00:00,2277.0
2006-01-02 00:00:00,2277.0
2006-01-03 00:00:00,2283.0
2006-01-04 00:00:00,2305.0
2006-01-05 00:00:00,2300.0
2006-01-06 00:00:00,2308.0
2006-01-09 00:00:00,2323.0
2006-01-10 00:00:00,2344.0
2006-01-11 00:00:00,2362.0
2006-01-12 00:00:00,2373.0
2006-01-13 00:00:00,2412.0
2006-01-16 00:00:00,2409.0
2006-01-17 00:00:00,2385.0
2006-01-18 00:00:00,2417.0
2006-01-19 00:00:00,2409.0
2006-01-20 00:00:00,2378.5
2006-01-23 00:00:00,2431.0
2006-01-24 00:00:00,2449.0
2006-01-25 00:00:00,2493.0
2006-01-26 00:00:00,2469.0
2006-01-27 00:00:00,2486.0
2006-01-30 00:00:00,2508.5
2006-01-31 00:00:00,2516.0
2006-02-01 00:00:00,2577.0
2006-02-02 00:00:00,2618.0
2006-02-03 00:00:00,2633.0
2006-02-06 00:00:00,2668.0
2006-02-07 00:00:00,2613.0
2006-02-08 00:00:00,2604.0
2006-02-09 00:00:00,2645.0
2006-02-10 00:00:00,2530.0
2006-02-13 00:00:00,2459.0
2006-02-14 00:00:00,2482.0
2006-02-15 00:00:00,2350.0
2006-02-16 00:00:00,2326.0
2006-02-17 00:00:00,2305.0
2006-02-20 00:00:00,2373.0
2006-02-21 00:00:00,2424.0
2006-02-22 00:00:00,2423.0
2006-02-23 00:00:00,2390.0
2006-02-24 00:00:00,2426.0
2006-02-27 00:00:00,2360.0
2006-02-28 00:00:00,2420.0
2006-03-01 00:00:00,2370.0
2006-03-02 00:00:00,2416.0
2006-03-03 00:00:00,2488.0
2006-03-06 00:00:00,2440.0
2006-03-07 00:00:00,2345.0
2006-03-08 00:00:00,2342.0
2006-03-09 00:00:00,2374.0
2006-03-10 00:00:00,2380.0
2006-03-13 00:00:00,2404.0
2006-03-14 00:00:00,2460.0
2006-03-15 00:00:00,2447.0
2006-03-16 00:00:00,2470.0
2006-03-17 00:00:00,2516.0
2006-03-20 00:00:00,2488.0
2006-03-21 00:00:00,2490.0
2006-03-22 00:00:00,2469.0
2006-03-23 00:00:00,2533.0
2006-03-24 00:00:00,2539.0
