date,China_CSI300_Equity
2005-01-03 00:00:00,1000.0
2005-01-04 00:00:00,982.79
2005-01-05 00:00:00,992.56
2005-01-06 00:00:00,983.17
2005-01-07 00:00:00,983.96
2005-01-10 00:00:00,993.88
2005-01-11 00:00:00,997.14
2005-01-12 00:00:00,996.75
2005-01-13 00:00:00,996.88
2005-01-14 00:00:00,988.31
2005-01-17 00:00:00,967.45
2005-01-18 00:00:00,974.69
2005-01-19 00:00:00,967.21
2005-01-20 00:00:00,956.25
2005-01-21 00:00:00,982.6
2005-01-24 00:00:00,998.13
2005-01-25 00:00:00,997.78
2005-01-26 00:00:00,989.93
2005-01-27 00:00:00,974.63
2005-01-28 00:00:00,969.21
2005-01-31 00:00:00,954.88
2005-02-01 00:00:00,955.95
2005-02-02 00:00:00,1006.91
2005-02-03 00:00:00,993.22
2005-02-04 00:00:00,1016.86
2005-02-07 00:00:00,1016.86
2005-02-08 00:00:00,1016.86
2005-02-09 00:00:00,1016.86
2005-02-10 00:00:00,1016.86
2005-02-11 00:00:00,1016.86
2005-02-14 00:00:00,1016.86
2005-02-15 00:00:00,1016.86
2005-02-16 00:00:00,1023.58
2005-02-17 00:00:00,1020.61
2005-02-18 00:00:00,1006.06
2005-02-21 00:00:00,1025.63
2005-02-22 00:00:00,1046.74
2005-02-23 00:00:00,1043.94
2005-02-24 00:00:00,1045.46
2005-02-25 00:00:00,1046.76
2005-02-28 00:00:00,1039.99
2005-03-01 00:00:00,1035.93
2005-03-02 00:00:00,1021.32
2005-03-03 00:00:00,1027.71
2005-03-04 00:00:00,1023.67
2005-03-07 00:00:00,1029.87
2005-03-08 00:00:00,1048.99
2005-03-09 00:00:00,1046.54
2005-03-10 00:00:00,1022.41
2005-03-11 00:00:00,1027.43
2005-03-14 00:00:00,1031.03
2005-03-15 00:00:00,1013.52
2005-03-16 00:00:00,1003.07
2005-03-17 00:00:00,992.86
2005-03-18 00:00:00,978.67
2005-03-21 00:00:00,981.89
2005-03-22 00:00:00,964.02
2005-03-23 00:00:00,959.01
2005-03-24 00:00:00,964.8
2005-03-25 00:00:00,962.96
2005-03-28 00:00:00,960.7
2005-03-29 00:00:00,955.19
2005-03-30 00:00:00,937.03
2005-03-31 00:00:00,942.2
2005-04-01 00:00:00,978.15
2005-04-04 00:00:00,962.17
2005-04-05 00:00:00,955.6
2005-04-06 00:00:00,973.67
2005-04-07 00:00:00,984.73
2005-04-08 00:00:00,1003.45
2005-04-11 00:00:00,995.42
2005-04-12 00:00:00,978.7
2005-04-13 00:00:00,1000.9
2005-04-14 00:00:00,986.98
2005-04-15 00:00:00,974.08
2005-04-18 00:00:00,963.77
2005-04-19 00:00:00,965.89
2005-04-20 00:00:00,950.87
2005-04-21 00:00:00,943.98
2005-04-22 00:00:00,939.1
2005-04-25 00:00:00,930.07
2005-04-26 00:00:00,937.08
2005-04-27 00:00:00,926.6
2005-04-28 00:00:00,942.07
2005-04-29 00:00:00,932.4
2005-05-02 00:00:00,932.4
2005-05-03 00:00:00,932.4
2005-05-04 00:00:00,932.4
2005-05-05 00:00:00,932.4
2005-05-06 00:00:00,932.4
2005-05-09 00:00:00,909.17
2005-05-10 00:00:00,913.08
2005-05-11 00:00:00,901.85
2005-05-12 00:00:00,885.82
2005-05-13 00:00:00,887.54
2005-05-16 00:00:00,875.27
2005-05-17 00:00:00,881.46
2005-05-18 00:00:00,883.2
2005-05-19 00:00:00,884.17
2005-05-20 00:00:00,882.76
2005-05-23 00:00:00,863.34
2005-05-24 00:00:00,868.46
2005-05-25 00:00:00,868.45
2005-05-26 00:00:00,857.33
2005-05-27 00:00:00,849.51
2005-05-30 00:00:00,855.61
2005-05-31 00:00:00,855.95
2005-06-01 00:00:00,837.53
2005-06-02 00:00:00,818.38
2005-06-03 00:00:00,818.03
2005-06-06 00:00:00,839.0
2005-06-07 00:00:00,837.28
2005-06-08 00:00:00,905.77
2005-06-09 00:00:00,912.6
2005-06-10 00:00:00,894.56
2005-06-13 00:00:00,892.96
2005-06-14 00:00:00,883.54
2005-06-15 00:00:00,866.83
2005-06-16 00:00:00,879.24
2005-06-17 00:00:00,880.35
2005-06-20 00:00:00,906.26
2005-06-21 00:00:00,896.17
2005-06-22 00:00:00,900.65
2005-06-23 00:00:00,893.57
2005-06-24 00:00:00,898.3
2005-06-27 00:00:00,916.04
2005-06-28 00:00:00,903.72
2005-06-29 00:00:00,898.9
2005-06-30 00:00:00,878.69
2005-07-01 00:00:00,859.49
2005-07-04 00:00:00,855.93
2005-07-05 00:00:00,849.68
2005-07-06 00:00:00,842.56
2005-07-07 00:00:00,844.73
2005-07-08 00:00:00,829.49
2005-07-11 00:00:00,824.1
2005-07-12 00:00:00,851.82
